nutrient_name,nutrient_symbol,type ,units,LRNI,EAR,RNI,effective_limit,high_intake_max,weight_variable ,nutrient_per_kg,other_nutrient_variable,explanatory_nutrient,formular
energy,kcal,macro,kcal,,,3500,,,,,,,
protein ,protein,macro,g,44.4,,61.5,,123,RNI,0.75,,,
saturated ,sat,fatty_acids,% energy intake,,10,,,,,,TRUE,energy ,
monounsaturated,monounsat,fatty_acids,% energy intake,,12,,,,,,TRUE,energy ,
polyunsaturated,polyunsat,fatty_acids,% energy intake,,6,,,,,,TRUE,energy ,
linoleic_acid,lino,efa,% energy intake,,1,,,,,,TRUE,energy ,
alpha_linoleic_acids,a_lino,efa,% energy intake,,0.2,,,,,,TRUE,energy ,
trans_fats,trans,fatty_acids,% energy intake,,2,,,,,,TRUE,energy ,
total_fatty_acids,tfa,fatty_acids,% energy intake,,30,,,,,,TRUE,energy ,
total_fat,tfa,fat,% energy intake,,33,,,,,,TRUE,energy ,
non_milk_extrinsic_sugars,sugars_extrinsic,sugars_starch,% energy intake,,11,,,,,,,,
starches_intrinsic_sugars_lactose,starches_instrinsic_sugars,sugars_starch,% energy intake,,39,,,,,,,,
non_starch_polysaccharides,fibre,macro,g,12,18,24,,32,,,,,
vitamin_a,A,vitamin,ug,300,500,700,,9000,,,,,
vitamin_b1 (thiamin),B1,vitamin,mg,0.6,0.8,1.4,,3000,,,TRUE,energy ,0.4(x_0/1000)
vitamin_b2 (riboflavin),B2,vitamin,mg,0.8,1,1.3,,120,,,,,
vitamin_b3 (niacin),B3,vitamin,mg,15.4,19.25,20,,20,,,TRUE,energy ,6.6(x_0/1000)
vitamin_b6,B6,vitamin,mg,1.37,1.65,1.92,,50,,,,,
vitamin_b12,B12,vitamin,ug,1,1.25,1.5,,3,,,,,
vitamin_c,C,vitamin,mg,10,25,40,70,600,,,,,
vitamin_d,D,vitamin,mg,8,8,8,8,none,,,,,
vitamin_e,E,vitamin,mg,4,5.5,7,none,3200,,,,,
vitamin_k,K,vitamin,ug,82,82,82,none,8200,,,,,
folate,folate,vitamin,ug,100,150,200,,none,,,,,
biotin,biotin,vitamin,mg,10,40,70,,200,,,,,
pantothentic_acid,p_acid,vitamin,mg,3,5,7,,10000,,,,,
calcium,Ca,other_organic_compounds,mg,400,525,700,700,none,,,,,
phosphorus,Ph,other_organic_compounds,mg,310,400,540,none,574,high_intake_max,7,,,
magnesium,Mg,other_organic_compounds,mg,190,250,300,2000,none,,,,,
iron,Fe,other_organic_compounds,mg,4.7,7.6,8.7,none,100000,,,,,
zinc ,Z,other_organic_compounds,mg,5.5,7.3,9.5,50,2000,,,,,
sodium,Na,other_organic_compounds,mg,575,none,1600,none,3200,,,,,
potassium,Cl,other_organic_compounds,mg,2000,none,3500,none,18000,,,,,
chloride,cl,other_organic_compounds,mg,885.5,none ,2462,none,none,,,,,
copper,Cu,other_organic_compounds,mg,none,none,1.2,none,4,,,high_intake_max,water,1.6*x_0
iodine,I,other_organic_compounds,ug,70,none,140,none,1000,,,,,
selenium,Se,other_organic_compounds,ug,40,57.5,75,none,492,high_intake_max,6,,,
molybdenum,mo,other_organic_compounds,sg,50,none,400,none,none,,,,,
manganese,Mn,other_organic_compounds,mg,none,none,1.4,none,none,,,,,
chromium,Cr,other_organic_compounds,ug,none,none,25,none,none,,,,,
fluoride,F,other_organic_compounds,mg,none,none,41,none,none,high_intake_max,0.5,TRUE,,
